"policy_id,customer_id,policy_type,policy_start_date,policy_end_date,premium_amount,policy_status,region"
"P1001,C2001,Auto,2023-01-10,2026-01-09,450,Active,East"
"P1002,C2002,Health,2022-05-14,2025-05-13,820,Active,West"
"P1003,C2003,Home,2021-09-20,2024-09-19,600,Expired,North"
"P1004,C2004,Life,2023-03-01,2033-02-28,1200,Active,South"
"P1005,C2005,Auto,2022-07-11,2025-07-10,500,Active,East"
"P1006,C2006,Health,2021-02-02,2024-02-01,700,Expired,North"
"P1007,C2007,Home,2023-06-12,2026-06-11,650,Active,West"
"P1008,C2008,Auto,2022-01-18,2025-01-17,480,Active,South"
"P1009,C2009,Life,2020-10-10,2030-10-09,1400,Active,East"
"P1010,C2010,Health,2023-08-22,2026-08-21,900,Active,North"
"P1011,C2011,Auto,2023-01-05,2026-01-04,460,Active,West"
"P1012,C2012,Health,2021-11-14,2024-11-13,780,Expired,South"
"P1013,C2013,Life,2022-04-19,2032-04-18,1300,Active,North"
"P1014,C2014,Home,2023-07-09,2026-07-08,620,Active,East"
"P1015,C2015,Auto,2022-12-30,2025-12-29,510,Active,West"
"P1016,C2016,Health,2023-05-15,2026-05-14,860,Active,South"
"P1017,C2017,Auto,2021-01-02,2024-01-01,430,Expired,North"
"P1018,C2018,Life,2022-09-09,2032-09-08,1250,Active,East"
"P1019,C2019,Home,2023-04-04,2026-04-03,640,Active,West"
"P1020,C2020,Health,2023-02-12,2026-02-11,910,Active,South"
"P1021,C2021,Auto,2023-02-10,2026-02-09,455,Active,East"
"P1022,C2022,Health,2022-03-12,2025-03-11,830,Active,West"
"P1023,C2023,Home,2021-04-22,2024-04-21,610,Expired,North"
"P1024,C2024,Life,2023-05-01,2033-04-30,1210,Active,South"
"P1025,C2025,Auto,2022-06-18,2025-06-17,520,Active,East"
"P1026,C2026,Health,2021-07-08,2024-07-07,720,Expired,North"
"P1027,C2027,Home,2023-08-16,2026-08-15,655,Active,West"
"P1028,C2028,Auto,2022-09-25,2025-09-24,495,Active,South"
"P1029,C2029,Life,2020-10-10,2030-10-09,1410,Active,East"
"P1030,C2030,Health,2023-11-11,2026-11-10,905,Active,North"
